38845	8.322591	1.593775	3
71913	10.255336	1.496536	1
55131	5.002113	0.408209	1
5977	0.000000	1.061699	2
31220	13.690511	0.744533	3
32667	8.812668	0.092438	3
15290	1.224288	1.267887	2
13503	0.288904	0.489035	2
36269	1.852415	0.502030	1
68431	8.580781	1.536562	1
34956	7.640545	1.304547	3
12687	1.281223	0.252696	2
28538	4.143496	0.791251	1
15760	9.479295	0.304623	3
53125	10.915241	0.802304	3
40356	11.848951	0.947978	3
2817	3.549605	0.759932	2
14951	0.515564	0.279386	2
11874	6.396909	0.866949	2
37521	7.849538	0.607847	3
38415	11.378037	0.799571	3
2234	2.815267	0.094517	2
47495	8.365696	1.069824	3
35427	9.069277	0.313052	3
14865	0.000000	1.496608	2
30771	3.181249	0.342287	1
6786	5.444882	1.389403	2
69311	8.464178	1.370166	1
49637	10.657581	0.520245	3
8326	7.716178	0.576846	2
54468	4.309160	0.113408	1
33531	11.371871	0.003728	3
59367	2.149128	0.703027	1
34964	9.732550	0.852647	3
67720	10.525625	0.501582	1
52706	8.777867	0.069962	3
16053	6.644497	0.230762	3
0	2.661771	1.258722	2
23337	2.555517	0.872222	1
0	6.524620	0.675705	2
18366	0.000000	0.080816	2
11646	4.545306	0.560863	2
4005	9.484451	1.650900	2
46888	9.489623	0.517784	3
39586	4.527216	1.292650	1
1481	3.324069	0.558516	2
48056	3.409426	0.860220	1
9852	0.951416	0.217217	2
73218	13.525972	0.500221	1
532	2.785554	0.153175	2
9310	8.118316	0.688315	2
69887	8.898413	1.317953	1
12731	9.832403	0.848328	3
7574	3.038981	0.592054	2
8205	7.187044	1.349824	2
38379	12.322175	1.675993	3
30790	13.515251	0.855290	3
32212	3.797877	1.590140	1
39398	10.696163	0.674614	3
44969	10.207841	0.745652	3
35675	12.796647	0.122620	3
33895	9.131795	0.046680	3
32381	9.074073	0.846051	3
12749	3.063182	1.005572	2
62663	7.986832	1.440966	1
67214	10.597693	1.370476	1
66969	7.128439	0.001741	1
32728	4.115781	0.175573	1
32014	11.908633	1.198829	3
41831	11.152186	0.323731	3
39039	11.261076	0.216601	3
36730	5.184518	1.277927	1
50513	5.091681	0.004336	1
12608	4.934601	0.671287	2
18536	6.055529	0.847005	3
30588	3.528361	0.826737	1
67136	7.851736	0.485943	1
62719	9.152400	1.209551	1
